Группа (подтип драйвера);Поле;Каналов;Пример тега (без префикса Барановичи-1.BN1_MCA1.);Сейчас у шлюза (controllers.yaml);В архиве 11–15.06.2026;Предлагаемый тип;Почему;Уверенность;Исправление (заполнить);Комментарий
AI_M;M;9;AI_M.LINE3AI203.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
AI_ST;ST;9;AI_ST.LINE1AI11.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
AI_V;V;9;AI_V.LINE1AI11.V;—;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
AO_M;M;3;AO_M.LINE1AO11.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
AO_ST;ST;1;AO_ST.LINE1AO11.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
AO_V;V;3;AO_V.LINE2AO1000.V;—;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
DI_M;M;110;DI_M.LINE2DI515.M;FLOAT×40;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
DI_P_DT;P_DT;4;DI_P_DT.CAB3DI1.P_DT;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
DI_ST;ST;110;DI_ST.LINE1DI1111.ST;BOOLEAN×40;32 кан., 1768 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
DO_M;M;132;DO_M.LINE3DO13.M;FLOAT×29;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
DO_ST;ST;132;DO_ST.LINE1DO3.ST;BOOLEAN×26,FLOAT×3;27 кан., 3609 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
FQT_ABS_V;ABS_V;7;FQT_ABS_V.LINE3FQT1.ABS_V;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_DAY_T1;DAY_T1;4;FQT_DAY_T1.LINE3FQT1.DAY_T1;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_DAY_T2;DAY_T2;4;FQT_DAY_T2.FQT1.DAY_T2;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_F;F;7;FQT_F.LINE5FQT1.F;—;3 кан., 49073 зап., 0 … 68,1, есть дробные;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_M;M;7;FQT_M.LINE1FQT1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
FQT_P_CZ;P_CZ;7;FQT_P_CZ.LINE6FQT1.P_CZ;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FQT_P_DT;P_DT;7;FQT_P_DT.FQT1.P_DT;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FQT_P_ERR_MIN_FLOW;P_ERR_MIN_FLOW;4;FQT_P_ERR_MIN_FLOW.FQT1.P_ERR_MIN_FLOW;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FQT_P_MAX_FLOW;P_MAX_FLOW;7;FQT_P_MAX_FLOW.LINE6FQT1.P_MAX_FLOW;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FQT_P_MIN_FLOW;P_MIN_FLOW;7;FQT_P_MIN_FLOW.LINE3FQT1.P_MIN_FLOW;—;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FQT_PREV_DAY_T1;PREV_DAY_T1;4;FQT_PREV_DAY_T1.LINE2FQT1.PREV_DAY_T1;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_PREV_DAY_T2;PREV_DAY_T2;4;FQT_PREV_DAY_T2.FQT1.PREV_DAY_T2;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_ST;ST;7;FQT_ST.LINE2FQT1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
FQT_T;T;1;FQT_T.FQT1.T;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
FQT_V;V;7;FQT_V.LINE3FQT1.V;FLOAT×1;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
FS_M;M;6;FS_M.LINE4FS1.M;FLOAT×6;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
FS_P_DT;P_DT;3;FS_P_DT.LINE3FS1.P_DT;FLOAT×1;нет данных;FLOAT;параметр прибора — saved_params<float> (уставка, время, сдвиг нуля);средняя;;
FS_ST;ST;6;FS_ST.LINE3FS1.ST;BOOLEAN×6;3 кан., 4659 зап., 0 … 1, только целые, разных 2;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
G_ERR;ERR;3;G_ERR.CAB2G1.ERR;—;нет данных;INT32;дискретный признак/код состояния, в контроллере целое;средняя;;
G_M;M;3;G_M.CAB2G1.M;—;нет данных;INT32;признак ручного режима, в контроллере целое 0/1;средняя;;
G_OUT_POWER_N;OUT_POWER_90;3;G_OUT_POWER_90.CAB1G1.OUT_POWER_90;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
G_ST;ST;3;G_ST.CAB3G1.ST;—;нет данных;INT32;состояние прибора в ptusa — целое: отрицательные = ошибки, 0/1/2… = режимы, в архиве M.ST −100…1, WATCHDOG.ST −1/1;высокая;;
G_SUM_CURRENTS;SUM_CURRENTS;3;G_SUM_CURRENTS.CAB1G1.SUM_CURRENTS;—;нет данных;FLOAT;измеряемая величина (расход, счётчик, уровень, частота, ток, напряжение, температура);средняя;;
G_V;V;3;G_V.CAB3G1.V;—;нет данных;FLOAT;аналоговое значение, в архиве дробные (TE 8…99, VC 0…99, M 0…100, PT, QT);высокая;;
