Группа (подтип драйвера);Поле;Класс значения;Описание канала
Параметры_линии_N;RT_PAR_F[11];номер;Программа мойки
Параметры_линии_N;RT_PAR_F[12];номер;Номер выбранного рецепта на линии
Параметры_линии_N;RT_PAR_F[13];номер;Состояние возвратного насоса
Параметры_линии_N;RT_PAR_F[14];номер;Выбор рецепта
Параметры_линии_N;RT_PAR_F[15];номер;Выбор программы
Параметры_линии_N;RT_PAR_F[18];номер;Тип объекта (танк, линия и пр.)
Параметры_линии_N;RT_PAR_F[20];флаг;Подпитывать ли бачок во время циркуляции
Параметры_линии_N;RT_PAR_F[45];номер;Номер возвратного насоса
Параметры_линии_N;RT_PAR_F[46];номер;Номер управляющего сигнала
Параметры_линии_N;RT_PAR_F[47];флаг;Обратная связь(готовность объекта к мойке)
Параметры_линии_N;RT_PAR_F[48];флаг;Сигнал 'объект опорожнен'
Параметры_линии_N;RT_PAR_F[49];счётчик;Маска доступных режимов мойки
Параметры_линии_N;RT_PAR_F[69];флаг;Ручной режим.
Параметры_линии_N;RT_PAR_F[80];флаг;Ручной режим.
Редактируемый_рецепт_линии_N;REC_PAR[106];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[107];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[108];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[109];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[110];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[111];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[112];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[113];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[114];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[115];номер;Включить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[116];номер;Выключить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[117];номер;Выключить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[118];номер;Выключить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[119];номер;Выключить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[120];номер;Выключить клапан №
Редактируемый_рецепт_линии_N;REC_PAR[1];флаг;Активность рецепта
Редактируемый_рецепт_линии_N;REC_PAR[2];номер;Управление рецептом (1-сброс, 2-копировать, 3-вставить)
Редактируемый_рецепт_линии_N;REC_PAR[32];номер;Номер возвратного насоса
Редактируемый_рецепт_линии_N;REC_PAR[33];номер;Номер управляющего сигнала
Редактируемый_рецепт_линии_N;REC_PAR[34];флаг;Обратная связь(готовность объекта к мойке)
Редактируемый_рецепт_линии_N;REC_PAR[35];флаг;Сигнал 'объект опорожнен'
Редактируемый_рецепт_линии_N;REC_PAR[36];счётчик;Маска доступных режимов мойки
Редактируемый_рецепт_линии_N;REC_PAR[56];флаг;Ручной режим.
Редактируемый_рецепт_линии_N;REC_PAR[5];номер;Тип объекта (танк, линия и пр.)
Редактируемый_рецепт_линии_N;REC_PAR[67];флаг;Ручной режим.
Редактируемый_рецепт_линии_N;REC_PAR[7];флаг;Подпитывать ли бачок во время циркуляции
Статистика_линии_N;RT_PAR_F[132];счётчик;предыдущая операция
Статистика_линии_N;RT_PAR_F[134];счётчик;количество подпиток на щелочи
Статистика_линии_N;RT_PAR_F[135];счётчик;количество подпиток на кислоте
Статистика_линии_N;RT_PAR_F[136];счётчик;количество подпиток на воде
